"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","ISSN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","016692998","Monograph","Language material ; Still image ; Text ; Three-dimensional form","Object ; Volume","GBB527503","9780762452415","","","","","","","Lord Voldemort's wand : with sticker kit","","","","United States of America","Philadelphia, Pennsylvania","Running","2014","","8 unnumbered leaves, 1 wand (2 pieces), 1 stand, chiefly colour illustrations, box (10 x 8 x 5 cm)","823.914","YKL.2015.a.3017","Children's fiction ; Specimen","English","'Ages 6 & up'--Box ; Assembles into an eight-inch light-up replica wand (batteries included) which is held in a stand shaped as a snake, together with a book of photographic stickers, all in box ; At head of title: Harry Potter ; Title from box"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017470711","Monograph","Language material ; Still image ; Text","Volume","GBB5A4313","9781408845646 ; 9781408845653 ; 9781408885109","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Rowling, J. K. [person] ; Kay, Jim, illustrator [person]","Harry Potter and the philosopher's stone : Harry Potter and the chamber of secrets","Harry Potter and the chamber of secrets ; Harry Potter and the philosopher's stone ; Novels. Selections","","","England","London","Bloomsbury","2015","","2 volumes, colour illustrations, 28 cm","823.914","LC.31.b.16061","Children's fiction ; Fantasy","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017595894","Monograph","Language material ; Still image ; Text","Volume","GBB623506","9781408871874","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Kay, Jim, illustrator [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","2015","Deluxe illustrated slip case edition","245 pages, colour illustrations, 33 cm + 1 poster (folded)","823.914","LC.31.b.15084","Children's fiction","English","Includes poster entitled: Diagon Alley North side ; Text originally published: 1997 ; edition statement from publisher's website ; illustrations on endpapers"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017611420","Monograph","Language material ; Text","Volume","GBB5G2346","9781408869116","","Rowling, J. K.","","person","author","Needham, Peter, translator [person] ; Rowling, J. K., author [person]","Harrius Potter et camera secretorum","Harry Potter and the chamber of secrets. English","","","England","London","Bloomsbury","2016","","277 pages, 20 cm","823.914","","Children's fiction ; Fantasy","Latin","Translated from the English"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017809968","Monograph","Language material ; Text","Online resource (ebook)","GBB656002","9781781100219","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the philosopher's stone","","Harry Potter","","England","London","Pottermore from J.K. Rowling","2015","","1 online resource","823.92","","Children's fiction ; Fantasy","English","Additional physical form: Print version. 9781408855898 ; Previously issued in print: London: Bloomsbury, 1997"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017809969","Monograph","Language material ; Text","Online resource (ebook)","GBB656003","9781781100226","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the chamber of secrets","","Harry Potter","","England","London","Pottermore from J.K. Rowling","2015","","1 online resource","823.92","","Children's fiction ; Fantasy","English","Additional physical form: Print version. 9781408845653 ; Previously issued in print: London: Bloomsbury, 1998"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017809970","Monograph","Language material ; Text","Online resource (ebook)","GBB656004","9781781100233","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the prisoner of Azkaban","","Harry Potter","3 [Harry Potter]","England","London","Pottermore from J.K. Rowling","2015","","1 online resource","823.92","","Children's fiction ; Fantasy","English","Additional physical form: Print version. 9781408855676 ; Previously issued in print: London: Bloomsbury, 1999"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017809971","Monograph","Language material ; Text","Online resource (ebook)","GBB656005","9781781100240","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the Order of the Phoenix","","Harry Potter","","England","London","Pottermore from J.K. Rowling","2015","","1 online resource","823.92","","Children's fiction ; Fantasy","English","Additional physical form: Print version. 9781408855690 ; Previously issued in print: London: Bloomsbury, 2003"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017809972","Monograph","Language material ; Text","Online resource (ebook)","GBB656006","9781781100257","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the Half-Blood Prince","","Harry Potter","","England","London","Pottermore from J.K. Rowling","2015","","1 online resource","823.92","","Children's fiction ; Fantasy","English","Additional physical form: Print version. 9781408855706 ; Previously issued in print: London: Bloomsbury, 2005"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017809973","Monograph","Language material ; Text","Online resource (ebook)","GBB656007","9781781100264","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the Deathly Hallows","","Harry Potter","","England","London","Pottermore from J.K. Rowling","2015","","1 online resource","823.92","","Children's fiction ; Fantasy","English","Additional physical form: Print version. 9781408865668 ; Previously issued in print: London: Bloomsbury, 2007"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017809974","Monograph","Language material ; Text","Online resource (ebook)","GBB656008","9781781105672","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the goblet of fire","","Harry Potter","","England","London","Pottermore from J.K. Rowling","2015","","1 online resource","823.92","","Children's fiction ; Fantasy","English","Additional physical form: Print version. 9781408865637 ; Previously issued in print: London: Bloomsbury, 2000"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017843507","Monograph","Language material ; Text","Online resource (ePub ebook)","GBB665621","9781317122104","","","","","","Berndt, Katrin, editor [person] ; Steveker, Lena, 1976-, editor [person]","Heroism in the Harry Potter series","","Ashgate studies in childhood, 1700 to the present","","England","London","Routledge","2016","","1 online resource","823.92","","Children's fiction","English","Additional physical form: Print version. 9781409412441 ; Previously issued in print: Farnham: Ashgate, 2011"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017863575","Monograph","Language material ; Text","Online resource (ebook)","GBB673826","9781781106464","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Rowling, J. K. [person]","Harry Potter : the complete collection","Harry Potter and the Deathly Hallows ; Harry Potter and the Half-Blood Prince ; Harry Potter and the Order of the Phoenix ; Harry Potter and the chamber of secrets ; Harry Potter and the goblet of fire ; Harry Potter and the philosopher's stone ; Harry Potter and the prisoner of Azkaban ; Novels. Selections","","","England","London","Pottermore from J.K. Rowling","2015","","1 online resource","823.92","","Children's fiction","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017869774","Monograph","Language material ; Text","Volume","GBB675708","9781408869130","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the prisoner of Azkaban","","","","England","London","Bloomsbury","2016","","461 pages, 22 cm","823.914","","Children's fiction ; Fantasy","English","In slip case ; Originally published: 1999"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","017954157","Monograph","Language material ; Still image ; Text","Sheet ; Volume","GBB6A4269","9781408876831","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Kay, Jim, illustrator [person]","Harry Potter and the chamber of secrets","","The Harry Potter series","","England","London","Bloomsbury","2016","Deluxe illustrated slipcase edition","258 pages, illustrations (black and white and colour), 34 cm + 1 poster (folded)","823.914","LC.37.b.742","Children's fiction ; Fantasy","English","In slip case housed in box (39 x 31 x 6 cm) ; Includes poster entitled: Diagon Alley north side ; Text originally published: 1998 ; edition statement from publisher's website"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","018247765","Monograph","Language material ; Text","Volume","GBB732760","9781408869154","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Tomić, Tomislav, illustrator [person]","Harry Potter and the Order of the Phoenix","","","","England","London","Bloomsbury","2017","","799 pages, 1 illustration (colour), 1 map (black and white), 23 cm","823.914","YKL.2018.a.9437","Children's fiction ; Fantasy","English","'Map illustrations by Tomislav Tomic' -- Title page verso ; In slip case ; Originally published: 2003 ; colour illustrations on endpapers"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","018247766","Monograph","Language material ; Text","Volume","GBB732761","9781408869161","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Tomić, Tomislav, illustrator [person]","Harry Potter and the half-blood prince","","","","England","London","Bloomsbury","2017","","541 pages, 1 illustration (colour), 1 map (black and white), 23 cm","823.914","YKL.2018.a.9439","Children's fiction ; Fantasy","English","'Map illustrations by Tomislav Tomic' -- Title page verso ; In slip case ; Originally published: 2005 ; colour illustrations on endpapers"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","018286055","Monograph","Language material ; Still image ; Text","Volume","GBB760710","9781408883730 ; 9781408883747","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the philosopher's stone","","Harry Potter series","","England","London","Bloomsbury","2017","20th Anniversary edition","xiii, 350 pages, black and white illustrations, 1 map (black and white), 21 cm","823.914","YKL.2018.a.8776","Children's fiction ; Fantasy","English","Originally published: 1997"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","018286056","Monograph","Language material ; Still image ; Text","Volume","GBB760711","9781408883754 ; 9781408883761","","Rowling, J. K.","","person","author","Pinfold, Levi, illustrator [person] ; Rowling, J. K., author [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","2017","20th Anniversary edition ; Slytherin edition, illustrated by Levi Pinfold","xiii, 350 pages, illustrations, 1 map, 21 cm","823.914","YKL.2018.a.8660","Children's fiction ; Fantasy","English","'20 years of Harry Potter magic'--Front cover"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","018286057","Monograph","Language material ; Still image ; Text","Volume","GBB760712","9781408883778 ; 9781408883785","","Rowling, J. K.","","person","author","Pinfold, Levi, illustrator [person] ; Rowling, J. K., author [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","2017","20th Anniversary edition ; Ravenclaw edition, illustrated by Levi Pinfold","xiii, 350 pages, illustrations, 1 map, 21 cm","823.914","YKL.2018.a.8659","Children's fiction ; Fantasy","English","'20 years of Harry Potter magic'--Front cover"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","018286058","Monograph","Language material ; Still image ; Text","Volume","GBB760713","9781408883792 ; 9781408883808","","Rowling, J. K.","","person","author","Pinfold, Levi, illustrator [person] ; Rowling, J. K., author [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","2017","20th anniversary edition ; Hufflepuff edition, illustrated by Levi Pinfold","xiii, 350 pages, illustrations, 1 map, 21 cm","823.914","YKL.2018.a.8513","Children's fiction ; Fantasy","English",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","018300629","Monograph","Language material ; Text","Volume","","","","Rowling, J. K.","","person","author","Buddingh', Wiebe, 1957-, translator [person] ; Rowling, J. K., author [person] ; Rowling, J. K. [person]","Harry Potter","Harry Potter and the Deathly Hallows ; Harry Potter and the Order of the Phoenix ; Harry Potter and the chamber of secrets ; Harry Potter en de Orde van de Feniks ; Harry Potter en de geheime kamer ; Harry Potter en de relieken van de dood ; Novels. Selections. Dutch","","","Netherlands","Amsterdam","Harmonie","2016","Pocket 2e druk","volumes, 18 cm","","YF.2017.a.11389","Children's fiction ; Fantasy","Dutch","'Pottermore.' ; Translated from the English"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","018306670","Monograph","Language material ; Text","Volume","","9787223022583","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Bu-chuṅ-rgyal, nor-dkyil, 1971-, translator [person]","Ha-ruʾe Phod-thar dang tshe rdo","Harry Potter and the philosopher's stone. Tibetan ; ཧ་རུའེ་ཕོད་ཐར་དང་ཚེ་རྡོ།","","","China","Lha-sa","Bod-jongs mi dmangs dpe skrun khang","2007","","320 pages, illustrations, 24 cm","","YP.2018.a.6898","Children's fiction ; Fiction","Tibetan",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","018306676","Monograph","Language material ; Text","Volume","","9787223026246","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Bu-chuṅ-rgyal, nor-dkyil, 1971-, translator [person]","Ha-ruʾe Phod-thar dang gsang baʾi khang pa","Harry Potter and the chamber of secrets. Tibetan ; ཧ་རུའེ་ཕོད་ཐར་དང་གསང་བའི་ཁང་པ།","","","China","Lha-sa","Bod-jongs mi dmangs dpe skrun khang","2009","","348 pages, illustrations, 24 cm","","YP.2018.a.6899","Children's fiction ; Fiction","Tibetan",""
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","018330855","Monograph","Cartographic image ; Language material ; Text","Volume","GBB775829","9781408869178","","Rowling, J. K.","","person","author","Rowling, J. K., author [person]","Harry Potter and the Deathly Hallows","","The Harry Potter series","7 [The Harry Potter series]","England","London","Bloomsbury","2017","","1 volume, map (black and white), 22 cm","823.92","","Children's fiction ; Fantasy","English","Originally published: 2007"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","018414446","Monograph","Language material ; Text","Volume","","","","Rowling, J. K.","","person","author","Ibrāhīm, Dāliyā Muḥammad, editor [person] ; محمود، سحر جبر،, editor [person] ; Maḥmūd, Saḥar Jabr, editor [person] ; Rowling, J. K., author [person] ; عبد الله، رجاء،, translator [person] ; ابراهيم، دالا محمد،, editor [person] ; ʿAbd Allāh, Rajāʾ, translator [person]","Hārī Būtir wa-ḥajar al-faylasūf","Harry Potter and the philosopher's stone. Arabic ; هاري بوتر و حجر الفيلسوف","Silsilat Hārī Būtir ; سلسلة هاري بوتر ؛","1 [Silsilat Hārī Būtir] ; 1 [سلسلة هاري بوتر ؛]","Egypt","al-Jīzah ; الجيزة","Dār Nahḍat Miṣr lil-Nashr ; دار نهضة مصر للنشر،","2016","","263 pages, 20 cm","","YP.2017.a.6002","Children's fiction ; Fantasy","Arabic","'HP.'"
"Potter, Harry, (Fictitious character)--Juvenile fiction","person","018459680","Monograph","Language material ; Still image ; Text","Volume","GBB7D6701","9781408884768","","Rowling, J. K.","","person","author","Rowling, J. K., author [person] ; Kay, Jim, illustrator [person]","Harry Potter and the prisoner of Azkaban","","The Harry Potter series","3 [The Harry Potter series]","England","London","Bloomsbury","2017","Deluxe illustrated slipcase edition, illustrated by Jim Kay","1 volume, colour illustrations, 33 cm","823.92","","Children's fiction ; Fantasy","English","In slip case"
